FacultyName,Discipline,CourseLevel,TechSkillLevel,PreviousTools,RecommendedTool
Darshan Patel,Biology,Graduate,Beginner,Slack,Figma
Vedant Iyer,Physics,Undergraduate,Beginner,"Slack, Zoom",Miro
Pooja Patil,Biology,Undergraduate,Beginner,Zoom,Canva
Ira Joshi,Computer Science,Graduate,Advanced,"Slack, Canvas",Miro
Pranav Desai,Economics,Undergraduate,Beginner,Slack,Canva
Ravi Kumar,Chemistry,Graduate,Beginner,"Moodle, Canvas",ChatGPT
Vikram Joshi,Physics,Graduate,Beginner,"Canvas, MS Teams",ChatGPT
Yuvraj Choudhary,Physics,Graduate,Intermediate,"Moodle, Zoom",ChatGPT
Siddhant Nair,Computer Science,Undergraduate,Advanced,MS Teams,Canva
Atharv Mehra,History,Graduate,Intermediate,"Slack, Zoom",Loom
Anvi Sharma,Economics,Undergraduate,Intermediate,MS Teams,Figma
Kunal Shetty,Physics,Undergraduate,Intermediate,Canvas,Figma
Aman Saxena,Biology,Undergraduate,Advanced,Zoom,Miro
Omkar Kulkarni,Management,Undergraduate,Advanced,"Moodle, MS Teams",Miro
Darshan Patel,English,Undergraduate,Beginner,Canvas,Loom
Chirag Deshmukh,Chemistry,Undergraduate,Beginner,"Canvas, Moodle",ChatGPT
Pooja Patil,Economics,Graduate,Beginner,"MS Teams, Moodle",Loom
Vidya Rao,Computer Science,Undergraduate,Intermediate,Moodle,ChatGPT
Navya Kapoor,Management,Graduate,Beginner,Canvas,Figma
Naina Jaiswal,Economics,Undergraduate,Intermediate,Zoom,Canva
Darshan Patel,Management,Undergraduate,Advanced,Canvas,Canva
Saanvi Sharma,Economics,Undergraduate,Advanced,Slack,Figma
Kabir Rao,Computer Science,Graduate,Advanced,"Canvas, Slack",Canva
Avni Menon,Engineering,Graduate,Beginner,"Zoom, Canvas",Loom
Suresh Babu,Psychology,Undergraduate,Advanced,MS Teams,Figma
Diya Bansal,Management,Undergraduate,Beginner,Zoom,Canva
Kabir Rao,Chemistry,Undergraduate,Beginner,"Canvas, Zoom",Figma
Kunal Shetty,Engineering,Undergraduate,Advanced,"MS Teams, Zoom",Miro
Simran Kaur,History,Undergraduate,Advanced,"Zoom, Slack",Loom
Aarav Chopra,History,Graduate,Intermediate,"MS Teams, Moodle",Canva
Arjun Mehta,History,Graduate,Advanced,Zoom,Miro
Rudra Iyer,Management,Undergraduate,Intermediate,"MS Teams, Zoom",Figma
Omkar Kulkarni,Psychology,Graduate,Intermediate,Canvas,ChatGPT
Shreya Patel,Psychology,Undergraduate,Intermediate,"Zoom, Slack",ChatGPT
Aarav Chopra,Chemistry,Undergraduate,Advanced,Zoom,Miro
Isha Mehra,Economics,Graduate,Intermediate,Slack,Canva
Kiara Patel,Physics,Graduate,Intermediate,Canvas,Canva
Divya Bhat,Management,Undergraduate,Beginner,MS Teams,Canva
Rahul Chauhan,Physics,Graduate,Advanced,Slack,ChatGPT
Saanvi Sharma,Chemistry,Graduate,Intermediate,"Canvas, Slack",Figma
Rajeev Nair,Chemistry,Graduate,Beginner,Slack,Canva
Swati Kulkarni,Computer Science,Graduate,Intermediate,Moodle,ChatGPT
Tushar Gupta,Engineering,Undergraduate,Beginner,Moodle,Miro
